GISJOIN,Avg_Life_Expect,se,Abridged_life_table_flag
G3600470012901,81.7,2.212,2
G3600470042400,83.9,2.8563,3
G3600470019200,78.3,1.1847,2
G3600470102600,79.1,2.2034,3
G3600470053400,78,1.1647,3
G3600470041800,80.6,1.6237,3
G3600470056900,82.6,1.7709,2
G3600470074800,82.2,3.0271,3
G3600470048100,82.1,2.8932,3
G3600470007600,78.8,1.5535,2
G3600470025600,85.6,2.9822,3
G3600470099800,83.1,2.9539,3
G3600470058600,87.9,3.6231,3
G3600470094600,77.1,1.4218,2
G3600470003300,81.2,2.4044,2
G3600470036600,78,1.3022,3
G3600470073200,78.6,1.1832,2
G3600470055300,79.1,2.1223,3
G3600470011000,80.3,2.5764,3
G3600810019900,,,
G3600470042600,86.5,2.8937,3
G3600470095000,78.1,1.3263,2
G3600810000100,81.6,2.4926,2
G3600470083600,78.1,1.2319,2
G3600470075400,79.6,2.2379,3
G3600470043400,81.3,1.8402,3
G3600470001100,,,
G3600470054800,88.6,3.5871,3
G3600470057600,86.7,2.8075,3
G3600470050400,81.6,1.7798,2
G3600470057100,77.7,1.7176,3
G3600470084800,78.1,1.277,2
G3600470072600,79.8,2.4358,2
G3600470096200,77.3,3.5291,3
G3600470055600,81.3,1.54,3
G3600470003500,81.2,2.4894,2
G3600470027400,85,2.505,3
G3600810107202,,,
G3600470097000,,,
G3600470015700,85.3,3.8424,3
G3600470045600,84.4,2.4383,3
G3600470058000,81.7,1.6727,3
G3600470075800,81.5,1.1188,2
G3600470043800,80.1,1.0863,3
G3600470076000,79.1,1.482,3
G3600470021400,84,3.9725,3
G3600470096000,,,
G3600810094201,77.7,2.884,3
G3600470055100,81.7,3.3815,2
G3600470019100,78.3,3.8929,3
G3600470018300,78.2,2.9005,3
G3600470073400,79.8,1.4888,2
G3600470042800,85.2,2.196,3
G3600470054700,77,3.2832,2
G3600810000700,87,3.4397,3
G3600470047400,81.2,1.5614,3
G3600470095400,78.1,1.5596,2
G3600470100400,81.5,2.4352,3
G3600470085000,80.7,2.8306,3
G3600470043200,88,2.3927,3
G3600470076800,82.7,1.6886,3
G3600470011800,79.6,2.4772,3
G3600470057800,85.4,3.2843,3
G3600470076200,84.8,2.0163,3
G3600470047700,82,3.0356,3
G3600470056000,79.9,1.2601,3
G3600470027000,85.9,2.4824,3
G3600470025800,84.3,2.6493,3
G3600470074000,77.8,1.294,2
G3600470012902,78.5,2.2013,3
G3600470053800,84,1.7643,3
G3600470055800,81,1.8167,3
G3600470027200,79,1.4379,3
G3600470024000,80.5,1.6301,3
G3600470097400,73,1.7762,3
G3600470053200,80.7,1.1143,2
G3600470026600,84.3,2.7438,3
G3600470044200,84.8,1.8713,3
G3600470105801,,,
G3600470095800,77.1,1.2589,2
G3600470074200,85.2,3.4048,3
G3600470049600,80.8,1.5866,3
G3600470054500,79,1.7049,3
G3600470019500,81.2,1.6749,2
G3600470042000,82.7,2.4788,3
G3600810052500,74.5,1.5724,3
G3600470054600,81.2,1.5149,3
G3600470102400,77.8,1.6708,2
G3600810089200,83.6,1.8563,3
G3600470075200,86.2,3.2625,3
G3600470102000,80.4,2.3621,3
G3600470054900,,,
G3600470026800,78.7,1.25,2
G3600470055000,80.7,1.6555,3
G3600470015900,82.7,2.1686,3
G3600470075000,82.3,1.7997,3
G3600470043000,80.6,2.1203,3
G3600470109800,77.8,2.4129,2
G3600470018100,81.5,3.2952,3
G3600470053000,80.8,2.2932,3
G3600810056100,,,
G3600470096800,77.8,1.451,2
G3600470055400,82.2,1.55,3
G3600470049900,77.4,2.3639,3
G3600470114201,77.4,2.0704,3
G3600470096400,79.8,2.3681,3
G3600470055200,81.5,1.4402,3
G3600470105804,76.3,1.3607,3
G3600470100600,81.4,3.7836,3
G3600470054200,84.3,1.907,3
G3600470054400,86.6,2.304,3
G3600470083400,79.3,1.3773,2
G3600470098200,72,1.6484,3
G3600470017900,79.8,1.703,3
G3600470019300,80.2,1.7036,3
G3600470099600,78.1,1.3942,2
G3600470086000,,,
G3600470095600,84.9,3.8136,3
G3600470107800,77.1,1.9443,3
G3600470102200,,,
G3600470101800,,,
G3600470016100,83.3,2.7491,3
G3600470048000,82.1,2.4247,3
G3600470019700,82.7,3.0738,3
G3600470023800,87,2.3559,3
G3600810094203,75.7,3.5876,3
G3600470020700,79,1.8002,3
G3600470048500,75.2,3.1714,3
G3600470077600,82.3,2.2789,3
G3600470045300,,,
G3600470078000,81.5,2.6323,3
G3600470022600,82.1,3.2988,3
G3600470051500,77.2,3.0431,3
G3600470114202,77.1,1.7436,2
G3600470009200,80.4,2.0039,3
G3600470019900,79.9,1.8435,3
G3600810052100,79.3,1.7544,3
G3600470047600,81.8,1.4257,3
G3600470086200,80.4,3.638,3
G3600470122000,75.5,1.8763,2
G3600470098600,84.4,3.2265,3
G3600470093600,79.3,1.278,2
G3600470036700,,,
G3600470016300,72.7,1.8444,3
G3600610024000,,,
G3600810094202,,,
G3600470049700,80.2,2.5237,3
G3600470093000,83.5,3.4974,3
G3600470085800,84,3.2631,3
G3600470093400,83.8,3.8157,3
G3600470098800,75.4,1.5926,3
G3600470023500,79.8,2.6587,2
G3600810051700,80.1,1.6441,3
G3600470100800,78.2,2.2162,3
G3600810088400,,,
G3600470098400,79.3,1.6638,2
G3600470010200,85.1,3.2224,1
G3600810062900,79.7,1.3406,2
G3600470020500,81.2,1.7033,2
G3600470021600,84.1,1.9968,3
G3600470040500,76.5,2.2595,3
G3600810063301,83.9,2.7762,3
G3600810051100,85.5,3.5148,3
G3600470021500,82.3,3.6053,3
G3600470087200,83,3.5862,3
G3600470023600,81.7,1.4663,3
G3600470101600,88.3,3.9807,3
G3600470096600,77.6,1.1683,2
G3600810062300,82.8,2.0355,3
G3600470053900,74.5,1.1033,2
G3600470020100,81.2,1.8101,2
G3600470101400,81.1,2.1526,3
G3600810059900,83.6,2.8791,3
G3600470099400,78.1,2.048,2
G3600470114600,81.8,3.1433,3
G3600810063302,80.7,1.9684,3
G3600810065702,82.5,1.7741,3
G3600470023100,80.1,2.6684,3
G3600470021300,77.3,1.5553,3
G3600470101000,77.7,3.9342,3
G3600470092800,78.9,2.5708,3
G3600470092200,79.8,2.2483,3
G3600470123700,73.7,3.3804,3
G3600810063500,82.1,1.9465,3
G3600810051500,80.2,1.5775,3
G3600810060701,,,
G3600470020300,,,
G3600470093800,74.5,1.0431,2
G3600810065900,81.2,2.0695,3
G3600470101200,79.2,2.0095,3
G3600810062500,76.3,1.408,3
G3600470051900,81.8,1.9507,2
G3600470081400,77.1,1.2779,2
G3600470078200,76.1,1.2243,2
G3600470053700,73.9,2.1992,3
G3600470023300,72.7,1.3182,3
G3600470087000,74.5,1.1189,2
G3600470077400,78.7,2.535,3
G3600470009600,82.7,2.181,3
G3600810066501,81.4,1.7572,3
G3600470010400,76.6,1.0798,2
G3600810095400,72.4,1.1138,1
G3600810006202,82.7,2.2976,3
G3600470052800,81.6,1.129,2
G3600470036502,77.1,2.5543,2
G3600470078400,79.8,1.2784,2
G3600810001900,82.4,2.69,2
G3600470011200,84,1.7994,1
G3600470099000,79.8,2.695,3
G3600810066701,78.4,1.4053,3
G3600810002500,75.3,2.0309,3
G3600470099200,78.6,1.2453,2
G3600470119800,71.4,1.6631,1
G3600470083200,84.8,3.5802,3
G3600810056700,81.9,2.1029,3
G3600810061900,75.9,1.7298,3
G3600810061302,,,
G3600470050100,83,2.525,3
G3600470023400,85,1.9831,3
G3600810066100,82.9,2.5039,3
G3600470110600,71.7,1.2193,3
G3600470049500,78.1,2.6898,3
G3600810062100,80.8,2.1527,3
G3600470022900,79.2,3.0022,3
G3600470022400,80.4,2.3988,3
G3600470046000,82,1.3089,3
G3600810056500,78,2.0016,2
G3600810053900,84.8,2.7319,3
G3600470036900,72.7,1.607,3
G3600810060100,80.1,2.9786,3
G3600470024100,77.4,2.3954,3
G3600470110400,75.5,1.19,2
G3600810065703,80.5,2.0101,3
G3600470047800,83.6,3.0361,3
G3600470049400,79,1.042,3
G3600810062700,79.1,1.9894,3
G3600470049300,77.6,1.9033,3
G3600470077200,80.3,1.2912,2
G3600470022800,76.2,1.5095,2
G3600810063700,80.6,1.3113,3
G3600470114400,74,2.0842,3
G3600470111000,74.3,2.6857,1
G3600470022700,79.6,1.4712,2
G3600470048800,82.5,1.8299,3
G3600810059500,80.6,1.2035,2
G3600470111600,74.5,1.9198,1
G3600470021800,83.8,2.2143,3
G3600470048400,80.4,1.6005,3
G3600810033100,,,
G3600470092000,75.2,1.319,2
G3600810096400,76.7,1.0744,2
G3600470076400,89.2,3.903,3
G3600470023000,79.3,2.1123,3
G3600470036501,71.4,1.8248,3
G3600470048600,79.4,1.7723,3
G3600470011600,81.6,1.9037,1
G3600470030500,79.6,1.3181,2
G3600810006201,82.5,1.6232,3
G3600470085400,78.6,2.9409,3
G3600470117201,83.4,3.9114,3
G3600470048200,80.5,1.566,3
G3600810063900,80.8,1.9599,3
G3600810071600,,,
G3600470090800,75.6,1.7542,2
G3600470023200,85.6,2.5555,3
G3600610001501,84,1.5938,3
G3600470042700,77.4,3.0337,2
G3600810066900,82.6,1.0363,2
G3600810060300,81.1,1.8936,3
G3600470121400,72.6,2.1295,1
G3600470021700,86.2,3.4818,3
G3600470044700,81.2,2.9233,2
G3600050000100,,,
G3600810051300,79.8,1.3587,3
G3600810049500,76.3,2.1182,3
G3600470024300,82.1,3.4441,3
G3600470086800,80.8,2.5929,3
G3600810097203,74.3,2.3784,1
G3600470048900,77.2,3.0893,3
G3600470040300,76.8,1.6862,2
G3600470010000,83.4,3.0651,1
G3600470085600,82.3,2.6299,3
G3600810049302,77.9,1.8096,3
G3600810097202,75.2,2.401,2
G3600470032500,76.7,1.2792,2
G3600470081600,79.4,1.6938,3
G3600470025500,73.9,1.3568,3
G3600470024500,79.7,3.0513,3
G3600810008800,80.3,2.8459,3
G3600470025300,78.6,3.6569,3
G3600470117202,76.5,2.5799,3
G3600470053500,80.7,2.0617,3
G3600610001001,81.8,0.9759,2
G3600810084602,77.7,2.0819,2
G3600810057700,80.6,1.4414,2
G3600810010701,,,
G3600610002100,,,
G3600470078600,80.1,1.8521,3
G3600470032700,77.8,1.4274,2
G3600470041100,80.3,2.7786,3
G3600810097204,75.6,0.8949,2
G3600470113200,76.9,3.231,3
G3600470076600,77.8,1.48,2
G3600470009400,83.3,2.6417,3
G3600470030100,75.5,1.7702,2
G3600470022200,82.5,1.925,3
G3600810065501,,,
G3600470042500,,,
G3600470040900,76.5,2.8928,3
G3600470090600,70.5,1.4175,1
G3600810084601,86,3.5142,3
G3600810061301,83.2,2.3807,3
G3600470113000,75.6,1.874,2
G3600470112800,76.8,1.3148,2
G3600470037100,74.6,1.7738,3
G3600610000202,79.5,1.2631,3
G3600810022900,,,
G3600470022000,81.8,1.4932,3
G3600470029900,75.2,2.3986,3
G3600470029700,80,2.3313,3
G3600810064500,83.7,2.0856,3
G3600470038100,77.3,2.093,1
G3600810031700,85.2,2.6066,3
G3600470049000,78.8,1.6654,3
G3600470025100,78.1,2.1775,3
G3600810057900,77.2,2.4771,3
G3600470088800,82.7,2.8749,3
G3600470030300,79.1,3.268,1
G3600470115200,75.7,1.9145,3
G3600470025902,75.6,2.1961,2
G3600470053100,83,3.7468,3
G3600470030700,73.7,2.2717,3
G3600470024900,79.6,1.5269,2
G3600470025901,,,
G3600470009800,83,2.8465,3
G3600470079802,82.7,3.7603,3
G3600810066300,82.7,1.595,3
G3600470025700,79.2,2.514,2
G3600470050300,80.9,2.6735,3
G3600470083000,76.4,1.2697,3
G3600470113400,75.6,2.149,2
G3600470036300,77,1.6411,3
G3600470022100,78.6,1.4524,2
G3600810067700,82.6,1.3563,2
G3600470038900,79.8,2.8006,2
G3600470039100,80.5,2.5871,3
G3600810049301,81.5,1.2709,2
G3600470050500,77.9,1.3457,2
G3600470052300,82.2,3.1958,3
G3600470027300,77.7,2.2631,3
G3600470086400,78.1,1.2263,2
G3600470028502,75.6,1.3939,2
G3600470024700,74.1,2.3091,3
G3600470029500,81.3,3.0224,3
G3600470028501,,,
G3600470027100,71.6,1.8513,3
G3600470091000,70.6,1.552,3
G3600470010600,82.1,1.825,3
G3600470115600,70.6,1.9993,1
G3600470037900,74.2,3.1101,1
G3600470091600,73.8,1.1966,2
G3600470021900,79.7,1.9257,3
G3600810005800,82.8,2.1233,3
G3600810008500,78.3,3.6937,3
G3600610003900,83.4,2.9518,3
G3600470087401,76.6,1.5513,3
G3600470011400,81.2,2.0925,3
G3600470049200,79.8,1.5851,2
G3600470027500,82.1,2.8475,3
G3600470112600,,,
G3600470115800,81.1,3.7411,3
G3600470091800,77.9,2.2459,3
G3600470028300,75.6,1.8364,2
G3600470038300,79.9,1.83,3
G3600470117000,,,
